lugar,no_serie,prim_classe
1A,A320-001,TRUE
1B,A320-001,TRUE
1C,A320-001,TRUE
1D,A320-001,TRUE
1E,A320-001,TRUE
1F,A320-001,TRUE
2A,A320-001,TRUE
2B,A320-001,TRUE
2C,A320-001,TRUE
2D,A320-001,TRUE
2E,A320-001,TRUE
2F,A320-001,TRUE
3A,A320-001,TRUE
3B,A320-001,TRUE
3C,A320-001,TRUE
3D,A320-001,TRUE
3E,A320-001,TRUE
3F,A320-001,TRUE
4A,A320-001,FALSE
4B,A320-001,FALSE
4C,A320-001,FALSE
4D,A320-001,FALSE
4E,A320-001,FALSE
4F,A320-001,FALSE
5A,A320-001,FALSE
5B,A320-001,FALSE
5C,A320-001,FALSE
5D,A320-001,FALSE
5E,A320-001,FALSE
5F,A320-001,FALSE
6A,A320-001,FALSE
6B,A320-001,FALSE
6C,A320-001,FALSE
6D,A320-001,FALSE
6E,A320-001,FALSE
6F,A320-001,FALSE
7A,A320-001,FALSE
7B,A320-001,FALSE
7C,A320-001,FALSE
7D,A320-001,FALSE
7E,A320-001,FALSE
7F,A320-001,FALSE
8A,A320-001,FALSE
8B,A320-001,FALSE
8C,A320-001,FALSE
8D,A320-001,FALSE
8E,A320-001,FALSE
8F,A320-001,FALSE
9A,A320-001,FALSE
9B,A320-001,FALSE
9C,A320-001,FALSE
9D,A320-001,FALSE
9E,A320-001,FALSE
9F,A320-001,FALSE
10A,A320-001,FALSE
10B,A320-001,FALSE
10C,A320-001,FALSE
10D,A320-001,FALSE
10E,A320-001,FALSE
10F,A320-001,FALSE
11A,A320-001,FALSE
11B,A320-001,FALSE
11C,A320-001,FALSE
11D,A320-001,FALSE
11E,A320-001,FALSE
11F,A320-001,FALSE
12A,A320-001,FALSE
12B,A320-001,FALSE
12C,A320-001,FALSE
12D,A320-001,FALSE
12E,A320-001,FALSE
12F,A320-001,FALSE
13A,A320-001,FALSE
13B,A320-001,FALSE
13C,A320-001,FALSE
13D,A320-001,FALSE
13E,A320-001,FALSE
13F,A320-001,FALSE
14A,A320-001,FALSE
14B,A320-001,FALSE
14C,A320-001,FALSE
14D,A320-001,FALSE
14E,A320-001,FALSE
14F,A320-001,FALSE
15A,A320-001,FALSE
15B,A320-001,FALSE
15C,A320-001,FALSE
15D,A320-001,FALSE
15E,A320-001,FALSE
15F,A320-001,FALSE
16A,A320-001,FALSE
16B,A320-001,FALSE
16C,A320-001,FALSE
16D,A320-001,FALSE
16E,A320-001,FALSE
16F,A320-001,FALSE
17A,A320-001,FALSE
17B,A320-001,FALSE
17C,A320-001,FALSE
17D,A320-001,FALSE
17E,A320-001,FALSE
17F,A320-001,FALSE
18A,A320-001,FALSE
18B,A320-001,FALSE
18C,A320-001,FALSE
18D,A320-001,FALSE
18E,A320-001,FALSE
18F,A320-001,FALSE
19A,A320-001,FALSE
19B,A320-001,FALSE
19C,A320-001,FALSE
19D,A320-001,FALSE
19E,A320-001,FALSE
19F,A320-001,FALSE
20A,A320-001,FALSE
20B,A320-001,FALSE
20C,A320-001,FALSE
20D,A320-001,FALSE
20E,A320-001,FALSE
20F,A320-001,FALSE
21A,A320-001,FALSE
21B,A320-001,FALSE
21C,A320-001,FALSE
21D,A320-001,FALSE
21E,A320-001,FALSE
21F,A320-001,FALSE
22A,A320-001,FALSE
22B,A320-001,FALSE
22C,A320-001,FALSE
22D,A320-001,FALSE
22E,A320-001,FALSE
22F,A320-001,FALSE
23A,A320-001,FALSE
23B,A320-001,FALSE
23C,A320-001,FALSE
23D,A320-001,FALSE
23E,A320-001,FALSE
23F,A320-001,FALSE
24A,A320-001,FALSE
24B,A320-001,FALSE
24C,A320-001,FALSE
24D,A320-001,FALSE
24E,A320-001,FALSE
24F,A320-001,FALSE
25A,A320-001,FALSE
25B,A320-001,FALSE
25C,A320-001,FALSE
25D,A320-001,FALSE
25E,A320-001,FALSE
25F,A320-001,FALSE
26A,A320-001,FALSE
26B,A320-001,FALSE
26C,A320-001,FALSE
26D,A320-001,FALSE
26E,A320-001,FALSE
26F,A320-001,FALSE
27A,A320-001,FALSE
27B,A320-001,FALSE
27C,A320-001,FALSE
27D,A320-001,FALSE
27E,A320-001,FALSE
27F,A320-001,FALSE
28A,A320-001,FALSE
28B,A320-001,FALSE
28C,A320-001,FALSE
28D,A320-001,FALSE
28E,A320-001,FALSE
28F,A320-001,FALSE
29A,A320-001,FALSE
29B,A320-001,FALSE
29C,A320-001,FALSE
29D,A320-001,FALSE
29E,A320-001,FALSE
29F,A320-001,FALSE
30A,A320-001,FALSE
30B,A320-001,FALSE
30C,A320-001,FALSE
30D,A320-001,FALSE
30E,A320-001,FALSE
30F,A320-001,FALSE
1A,A320-002,TRUE
1B,A320-002,TRUE
1C,A320-002,TRUE
1D,A320-002,TRUE
1E,A320-002,TRUE
1F,A320-002,TRUE
2A,A320-002,TRUE
2B,A320-002,TRUE
2C,A320-002,TRUE
2D,A320-002,TRUE
2E,A320-002,TRUE
2F,A320-002,TRUE
3A,A320-002,TRUE
3B,A320-002,TRUE
3C,A320-002,TRUE
3D,A320-002,TRUE
3E,A320-002,TRUE
3F,A320-002,TRUE
4A,A320-002,FALSE
4B,A320-002,FALSE
4C,A320-002,FALSE
4D,A320-002,FALSE
4E,A320-002,FALSE
4F,A320-002,FALSE
5A,A320-002,FALSE
5B,A320-002,FALSE
5C,A320-002,FALSE
5D,A320-002,FALSE
5E,A320-002,FALSE
5F,A320-002,FALSE
6A,A320-002,FALSE
6B,A320-002,FALSE
6C,A320-002,FALSE
6D,A320-002,FALSE
6E,A320-002,FALSE
6F,A320-002,FALSE
7A,A320-002,FALSE
7B,A320-002,FALSE
7C,A320-002,FALSE
7D,A320-002,FALSE
7E,A320-002,FALSE
7F,A320-002,FALSE
8A,A320-002,FALSE
8B,A320-002,FALSE
8C,A320-002,FALSE
8D,A320-002,FALSE
8E,A320-002,FALSE
8F,A320-002,FALSE
9A,A320-002,FALSE
9B,A320-002,FALSE
9C,A320-002,FALSE
9D,A320-002,FALSE
9E,A320-002,FALSE
9F,A320-002,FALSE
10A,A320-002,FALSE
10B,A320-002,FALSE
10C,A320-002,FALSE
10D,A320-002,FALSE
10E,A320-002,FALSE
10F,A320-002,FALSE
11A,A320-002,FALSE
11B,A320-002,FALSE
11C,A320-002,FALSE
11D,A320-002,FALSE
11E,A320-002,FALSE
11F,A320-002,FALSE
12A,A320-002,FALSE
12B,A320-002,FALSE
12C,A320-002,FALSE
12D,A320-002,FALSE
12E,A320-002,FALSE
12F,A320-002,FALSE
13A,A320-002,FALSE
13B,A320-002,FALSE
13C,A320-002,FALSE
13D,A320-002,FALSE
13E,A320-002,FALSE
13F,A320-002,FALSE
14A,A320-002,FALSE
14B,A320-002,FALSE
14C,A320-002,FALSE
14D,A320-002,FALSE
14E,A320-002,FALSE
14F,A320-002,FALSE
15A,A320-002,FALSE
15B,A320-002,FALSE
15C,A320-002,FALSE
15D,A320-002,FALSE
15E,A320-002,FALSE
15F,A320-002,FALSE
16A,A320-002,FALSE
16B,A320-002,FALSE
16C,A320-002,FALSE
16D,A320-002,FALSE
16E,A320-002,FALSE
16F,A320-002,FALSE
17A,A320-002,FALSE
17B,A320-002,FALSE
17C,A320-002,FALSE
17D,A320-002,FALSE
17E,A320-002,FALSE
17F,A320-002,FALSE
18A,A320-002,FALSE
18B,A320-002,FALSE
18C,A320-002,FALSE
18D,A320-002,FALSE
18E,A320-002,FALSE
18F,A320-002,FALSE
19A,A320-002,FALSE
19B,A320-002,FALSE
19C,A320-002,FALSE
19D,A320-002,FALSE
19E,A320-002,FALSE
19F,A320-002,FALSE
20A,A320-002,FALSE
20B,A320-002,FALSE
20C,A320-002,FALSE
20D,A320-002,FALSE
20E,A320-002,FALSE
20F,A320-002,FALSE
21A,A320-002,FALSE
21B,A320-002,FALSE
21C,A320-002,FALSE
21D,A320-002,FALSE
21E,A320-002,FALSE
21F,A320-002,FALSE
22A,A320-002,FALSE
22B,A320-002,FALSE
22C,A320-002,FALSE
22D,A320-002,FALSE
22E,A320-002,FALSE
22F,A320-002,FALSE
23A,A320-002,FALSE
23B,A320-002,FALSE
23C,A320-002,FALSE
23D,A320-002,FALSE
23E,A320-002,FALSE
23F,A320-002,FALSE
24A,A320-002,FALSE
24B,A320-002,FALSE
24C,A320-002,FALSE
24D,A320-002,FALSE
24E,A320-002,FALSE
24F,A320-002,FALSE
25A,A320-002,FALSE
25B,A320-002,FALSE
25C,A320-002,FALSE
25D,A320-002,FALSE
25E,A320-002,FALSE
25F,A320-002,FALSE
26A,A320-002,FALSE
26B,A320-002,FALSE
26C,A320-002,FALSE
26D,A320-002,FALSE
26E,A320-002,FALSE
26F,A320-002,FALSE
27A,A320-002,FALSE
27B,A320-002,FALSE
27C,A320-002,FALSE
27D,A320-002,FALSE
27E,A320-002,FALSE
27F,A320-002,FALSE
28A,A320-002,FALSE
28B,A320-002,FALSE
28C,A320-002,FALSE
28D,A320-002,FALSE
28E,A320-002,FALSE
28F,A320-002,FALSE
29A,A320-002,FALSE
29B,A320-002,FALSE
29C,A320-002,FALSE
29D,A320-002,FALSE
29E,A320-002,FALSE
29F,A320-002,FALSE
30A,A320-002,FALSE
30B,A320-002,FALSE
30C,A320-002,FALSE
30D,A320-002,FALSE
30E,A320-002,FALSE
30F,A320-002,FALSE
1A,B737-001,TRUE
1B,B737-001,TRUE
1C,B737-001,TRUE
1D,B737-001,TRUE
1E,B737-001,TRUE
1F,B737-001,TRUE
2A,B737-001,TRUE
2B,B737-001,TRUE
2C,B737-001,TRUE
2D,B737-001,TRUE
2E,B737-001,TRUE
2F,B737-001,TRUE
3A,B737-001,FALSE
3B,B737-001,FALSE
3C,B737-001,FALSE
3D,B737-001,FALSE
3E,B737-001,FALSE
3F,B737-001,FALSE
4A,B737-001,FALSE
4B,B737-001,FALSE
4C,B737-001,FALSE
4D,B737-001,FALSE
4E,B737-001,FALSE
4F,B737-001,FALSE
5A,B737-001,FALSE
5B,B737-001,FALSE
5C,B737-001,FALSE
5D,B737-001,FALSE
5E,B737-001,FALSE
5F,B737-001,FALSE
6A,B737-001,FALSE
6B,B737-001,FALSE
6C,B737-001,FALSE
6D,B737-001,FALSE
6E,B737-001,FALSE
6F,B737-001,FALSE
7A,B737-001,FALSE
7B,B737-001,FALSE
7C,B737-001,FALSE
7D,B737-001,FALSE
7E,B737-001,FALSE
7F,B737-001,FALSE
8A,B737-001,FALSE
8B,B737-001,FALSE
8C,B737-001,FALSE
8D,B737-001,FALSE
8E,B737-001,FALSE
8F,B737-001,FALSE
9A,B737-001,FALSE
9B,B737-001,FALSE
9C,B737-001,FALSE
9D,B737-001,FALSE
9E,B737-001,FALSE
9F,B737-001,FALSE
10A,B737-001,FALSE
10B,B737-001,FALSE
10C,B737-001,FALSE
10D,B737-001,FALSE
10E,B737-001,FALSE
10F,B737-001,FALSE
11A,B737-001,FALSE
11B,B737-001,FALSE
