id,voo_id,codigo_reserva,nome_passegeiro,preco,prim_classe,lugar,no_serie
1,1,1,Passageiro 1,171.09,FALSE,22B,A320-003
2,1,2,Passageiro 2,59.02,FALSE,11F,A320-003
3,1,3,Passageiro 3,54.0,FALSE,6B,A320-003
4,1,4,Passageiro 4,127.94,FALSE,16D,A320-003
5,1,5,Passageiro 5,150.7,TRUE,2D,A320-003
6,1,6,Passageiro 6,370.73,FALSE,25D,A320-003
7,1,7,Passageiro 7,173.92,FALSE,11D,A320-003
8,1,8,Passageiro 8,256.55,FALSE,15C,A320-003
9,1,9,Passageiro 9,185.97,FALSE,5C,A320-003
10,1,10,Passageiro 10,228.72,FALSE,14A,A320-003
11,1,11,Passageiro 11,280.18,FALSE,16B,A320-003
12,1,12,Passageiro 12,302.66,FALSE,20B,A320-003
13,1,13,Passageiro 13,177.2,FALSE,12D,A320-003
14,1,14,Passageiro 14,266.78,FALSE,22E,A320-003
15,1,15,Passageiro 15,338.27,FALSE,16F,A320-003
16,1,16,Passageiro 16,345.25,TRUE,3E,A320-003
17,1,17,Passageiro 17,134.76,FALSE,12B,A320-003
18,1,18,Passageiro 18,454.86,FALSE,22F,A320-003
19,1,19,Passageiro 19,231.84,FALSE,17A,A320-003
20,1,20,Passageiro 20,112.97,FALSE,29F,A320-003
21,1,21,Passageiro 21,273.82,TRUE,1F,A320-003
22,1,22,Passageiro 22,458.11,TRUE,3C,A320-003
23,1,23,Passageiro 23,381.53,FALSE,30C,A320-003
24,1,24,Passageiro 24,417.21,FALSE,7E,A320-003
25,1,25,Passageiro 25,358.84,FALSE,19B,A320-003
26,1,26,Passageiro 26,457.94,TRUE,2B,A320-003
27,1,27,Passageiro 27,278.29,TRUE,1A,A320-003
28,1,28,Passageiro 28,444.42,FALSE,30D,A320-003
29,1,29,Passageiro 29,93.92,FALSE,24B,A320-003
30,1,30,Passageiro 30,376.33,FALSE,15B,A320-003
31,2,31,Passageiro 31,67.73,FALSE,11A,A320-001
32,2,32,Passageiro 32,359.69,FALSE,14F,A320-001
33,2,33,Passageiro 33,155.53,FALSE,4B,A320-001
34,2,34,Passageiro 34,90.05,FALSE,9E,A320-001
35,2,35,Passageiro 35,351.06,FALSE,21C,A320-001
36,2,36,Passageiro 36,400.79,FALSE,17C,A320-001
37,2,37,Passageiro 37,457.15,FALSE,10F,A320-001
38,2,38,Passageiro 38,255.54,FALSE,23B,A320-001
39,2,39,Passageiro 39,258.92,FALSE,19B,A320-001
40,2,40,Passageiro 40,443.36,TRUE,3D,A320-001
41,2,41,Passageiro 41,410.72,FALSE,9A,A320-001
42,2,42,Passageiro 42,382.34,FALSE,13C,A320-001
43,2,43,Passageiro 43,54.35,TRUE,3A,A320-001
44,2,44,Passageiro 44,341.24,FALSE,22D,A320-001
45,2,45,Passageiro 45,452.54,FALSE,27B,A320-001
46,2,46,Passageiro 46,445.31,FALSE,11D,A320-001
47,2,47,Passageiro 47,416.73,FALSE,14B,A320-001
48,2,48,Passageiro 48,230.35,FALSE,25C,A320-001
49,2,49,Passageiro 49,426.07,FALSE,19D,A320-001
50,2,50,Passageiro 50,409.95,FALSE,29A,A320-001
51,2,51,Passageiro 51,100.88,FALSE,6D,A320-001
52,2,52,Passageiro 52,491.71,FALSE,29F,A320-001
53,2,53,Passageiro 53,237.21,FALSE,29B,A320-001
54,2,54,Passageiro 54,411.02,FALSE,24D,A320-001
55,2,55,Passageiro 55,131.57,FALSE,29E,A320-001
56,2,56,Passageiro 56,325.11,FALSE,30F,A320-001
57,2,57,Passageiro 57,267.39,FALSE,21D,A320-001
58,2,58,Passageiro 58,449.42,FALSE,24A,A320-001
59,2,59,Passageiro 59,78.5,FALSE,12D,A320-001
60,2,60,Passageiro 60,55.56,FALSE,30D,A320-001
61,3,61,Passageiro 61,190.69,FALSE,15F,A330-003
62,3,62,Passageiro 62,55.83,FALSE,20F,A330-003
