id,no_serie,hora_partida,hora_chegada,partida,chegada
1,A320-003,2025-01-01 14:00:00,2025-01-01 17:00:00,OPO,LHR
2,A320-001,2025-01-01 14:00:00,2025-01-01 15:00:00,OPO,LIS
3,A330-003,2025-01-01 12:00:00,2025-01-01 13:00:00,OPO,BCN
4,B737-003,2025-01-01 15:00:00,2025-01-01 17:00:00,FCO,FRA
5,A320-002,2025-01-01 18:00:00,2025-01-01 19:00:00,LIS,OPO
6,A320-003,2025-01-02 07:00:00,2025-01-02 08:00:00,LHR,MAD
7,A330-002,2025-01-02 07:00:00,2025-01-02 09:00:00,CDG,FRA
8,A330-001,2025-01-02 15:00:00,2025-01-02 17:00:00,ORY,MAD
9,A320-002,2025-01-02 17:00:00,2025-01-02 19:00:00,OPO,LIS
10,B737-004,2025-01-02 07:00:00,2025-01-02 09:00:00,BCN,FCO
11,A320-002,2025-01-03 15:00:00,2025-01-03 16:00:00,LIS,MAD
12,A330-003,2025-01-03 06:00:00,2025-01-03 09:00:00,BCN,OPO
13,A330-001,2025-01-03 18:00:00,2025-01-03 20:00:00,MAD,ORY
14,A320-003,2025-01-03 19:00:00,2025-01-03 20:00:00,MAD,OPO
15,A330-002,2025-01-03 12:00:00,2025-01-03 14:00:00,FRA,OPO
16,B737-003,2025-01-04 16:00:00,2025-01-04 18:00:00,FRA,ORY
17,A330-002,2025-01-04 15:00:00,2025-01-04 18:00:00,OPO,CDG
18,B737-001,2025-01-04 14:00:00,2025-01-04 17:00:00,LHR,CDG
19,B737-004,2025-01-04 08:00:00,2025-01-04 10:00:00,FCO,ORY
20,A320-003,2025-01-04 10:00:00,2025-01-04 13:00:00,OPO,FRA
21,A330-003,2025-01-05 19:00:00,2025-01-05 20:00:00,OPO,LHR
22,B737-002,2025-01-05 12:00:00,2025-01-05 14:00:00,ORY,MAD
23,A330-002,2025-01-05 09:00:00,2025-01-05 12:00:00,CDG,OPO
24,A320-003,2025-01-05 09:00:00,2025-01-05 12:00:00,FRA,LGW
25,A320-001,2025-01-05 12:00:00,2025-01-05 15:00:00,LIS,FCO
26,B737-003,2025-01-06 14:00:00,2025-01-06 16:00:00,ORY,BCN
27,B737-001,2025-01-06 20:00:00,2025-01-06 23:00:00,CDG,FRA
28,A330-001,2025-01-06 11:00:00,2025-01-06 12:00:00,ORY,FRA
29,A320-002,2025-01-06 14:00:00,2025-01-06 16:00:00,MAD,CDG
30,A320-003,2025-01-06 18:00:00,2025-01-06 19:00:00,LGW,OPO
31,A320-002,2025-01-07 15:00:00,2025-01-07 16:00:00,CDG,FRA
32,B737-001,2025-01-07 12:00:00,2025-01-07 15:00:00,FRA,MAD
33,A330-003,2025-01-07 14:00:00,2025-01-07 16:00:00,LHR,FCO
